Gun,Type,Ammo Type,Base Range (1.34x),HP Range (1.5x),Synthetic Range (1.75x),HP Extension,Synth Extension
M250 !!!,LMG,Hollow Point,75.0,75,75,0.0,0.0
M277,Carbine,Hollow Point,75.0,75,75,0.0,0.0
M123K,LMG,Hollow Point,57.222222222222214,75,75,17.777777777777786,17.777777777777786
L110,LMG,Hollow Point,57.222222222222214,75,75,17.777777777777786,17.777777777777786
DRS-IAR,LMG,Synthetic,57.222222222222214,75,75,17.777777777777786,17.777777777777786
M433,Assault Rifle,Hollow Point,57.222222222222214,75,75,17.777777777777786,17.777777777777786
B36A4,Assault Rifle,Synthetic,57.222222222222214,75,75,17.777777777777786,17.777777777777786
SOR-556 MK2,Assault Rifle,Synthetic,57.222222222222214,75,75,17.777777777777786,17.777777777777786
M417A2,Carbine,Hollow Point,62.30158730158729,75,75,12.69841269841271,12.69841269841271
RPKM,LMG,Synthetic,62.30158730158729,75,75,12.69841269841271,12.69841269841271
