Gun,Type,Ammo Type,Base Range (1.34x),HP Range (1.5x),Synthetic Range (1.75x),HP Extension,Synth Extension
M123K,LMG,Hollow Point,25.87557603686636,28.333333333333336,31.842105263157897,2.4577572964669763,5.966529226291538
M433,AR,Hollow Point,25.87557603686636,28.333333333333336,31.842105263157897,2.4577572964669763,5.966529226291538
SCW-10,SMG,Hollow Point,25.87557603686636,28.333333333333336,31.842105263157897,2.4577572964669763,5.966529226291538
DRS-IAR,LMG,Synthetic,25.87557603686636,28.333333333333336,31.842105263157897,2.4577572964669763,5.966529226291538
M277,CARBINE,Hollow Point,35.0,35.0,35.0,0.0,0.0
B36A4,AR,Synthetic,25.87557603686636,28.333333333333336,31.842105263157897,2.4577572964669763,5.966529226291538
L110,LMG,Hollow Point,25.87557603686636,28.333333333333336,31.842105263157897,2.4577572964669763,5.966529226291538
M250,LMG,Hollow Point,35.0,35.0,35.0,0.0,0.0
M417 A2,CARBINE,Hollow Point,31.1463133640553,33.19444444444444,35.0,2.048131080389144,3.853686635944701
L85A3,AR,Synthetic,25.87557603686636,28.333333333333336,31.842105263157897,2.4577572964669763,5.966529226291538
SOR-300SC,CARBINE,Synthetic,25.87557603686636,28.333333333333336,31.842105263157897,2.4577572964669763,5.966529226291538
SOR-556 MK2,AR,Synthetic,25.87557603686636,28.333333333333336,31.842105263157897,2.4577572964669763,5.966529226291538
RPKM,LMG,Synthetic,29.896313364055302,31.944444444444443,34.868421052631575,2.0481310803891404,4.972107688576273
KTS100 MK8,LMG,Synthetic,25.87557603686636,28.333333333333336,31.842105263157897,2.4577572964669763,5.966529226291538
