Range,Headshots,Ammo,Body_Dmg,HS_Dmg,Num_Body,STK,TTK_ms
0,0,Base,25.0,33.5,4,4,200.0
0,0,HP,25.0,37.5,4,4,200.0
0,1,Base,25.0,33.5,3,4,200.0
0,1,HP,25.0,37.5,3,4,200.0
0,2,Base,25.0,33.5,2,4,200.0
0,2,HP,25.0,37.5,1,3,133.33333333333334
0,3,Base,25.0,33.5,0,3,133.33333333333334
0,3,HP,25.0,37.5,0,3,133.33333333333334
0,4,Base,25.0,33.5,0,4,200.0
0,4,HP,25.0,37.5,0,4,200.0
0,5,Base,25.0,33.5,0,5,266.6666666666667
0,5,HP,25.0,37.5,0,5,266.6666666666667
10,0,Base,21.0,28.14,5,5,266.6666666666667
10,0,HP,21.0,31.5,5,5,266.6666666666667
10,1,Base,21.0,28.14,4,5,266.6666666666667
10,1,HP,21.0,31.5,4,5,266.6666666666667
10,2,Base,21.0,28.14,3,5,266.6666666666667
10,2,HP,21.0,31.5,2,4,200.0
10,3,Base,21.0,28.14,1,4,200.0
10,3,HP,21.0,31.5,1,4,200.0
10,4,Base,21.0,28.14,0,4,200.0
10,4,HP,21.0,31.5,0,4,200.0
10,5,Base,21.0,28.14,0,5,266.6666666666667
10,5,HP,21.0,31.5,0,5,266.6666666666667
20,0,Base,20.384615384615383,27.315384615384616,5,5,266.6666666666667
20,0,HP,20.384615384615383,30.576923076923073,5,5,266.6666666666667
20,1,Base,20.384615384615383,27.315384615384616,4,5,266.6666666666667
20,1,HP,20.384615384615383,30.576923076923073,4,5,266.6666666666667
20,2,Base,20.384615384615383,27.315384615384616,3,5,266.6666666666667
20,2,HP,20.384615384615383,30.576923076923073,2,4,200.0
20,3,Base,20.384615384615383,27.315384615384616,1,4,200.0
20,3,HP,20.384615384615383,30.576923076923073,1,4,200.0
20,4,Base,20.384615384615383,27.315384615384616,0,4,200.0
20,4,HP,20.384615384615383,30.576923076923073,0,4,200.0
20,5,Base,20.384615384615383,27.315384615384616,0,5,266.6666666666667
20,5,HP,20.384615384615383,30.576923076923073,0,5,266.6666666666667
30,0,Base,19.76923076923077,26.490769230769235,6,6,333.33333333333337
30,0,HP,19.76923076923077,29.653846153846153,6,6,333.33333333333337
30,1,Base,19.76923076923077,26.490769230769235,4,5,266.6666666666667
30,1,HP,19.76923076923077,29.653846153846153,4,5,266.6666666666667
30,2,Base,19.76923076923077,26.490769230769235,3,5,266.6666666666667
30,2,HP,19.76923076923077,29.653846153846153,3,5,266.6666666666667
30,3,Base,19.76923076923077,26.490769230769235,2,5,266.6666666666667
30,3,HP,19.76923076923077,29.653846153846153,1,4,200.0
30,4,Base,19.76923076923077,26.490769230769235,0,4,200.0
30,4,HP,19.76923076923077,29.653846153846153,0,4,200.0
30,5,Base,19.76923076923077,26.490769230769235,0,5,266.6666666666667
